seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
17,proposed,good,0.08133254347528619,4.53125,20.0,156.1129009797666,3,159
18,unconditional,good,0.0639632387080458,0.0,0.0,184.83181576720972,800,0
18,periodic,good,0.10625902371316195,4.5,9.0,184.83181576720972,80,0
18,event,good,0.1691875002655436,18.6625,65.0,184.83181576720972,25,0
18,proposed,good,0.08303337437609498,4.0225,20.0,184.83181576720972,4,159
19,unconditional,good,0.0616189629734696,0.0,0.0,190.39310546664152,800,0
19,periodic,good,0.10661278005644335,4.5,9.0,190.39310546664152,80,0
19,event,good,0.16704003788045477,18.20625,64.0,190.39310546664152,26,0
19,proposed,good,0.08755175678280884,4.5975,20.0,190.39310546664152,3,151
20,unconditional,good,0.06435675862837766,0.0,0.0,161.3138041250981,800,0
20,periodic,good,0.10969075854691804,4.5,9.0,161.3138041250981,80,0
20,event,good,0.16906477548300655,21.6675,99.0,161.3138041250981,23,0
20,proposed,good,0.08331867840908116,3.6975,20.0,161.3138041250981,2,158
21,unconditional,good,9.504931422536625,0.0,0.0,1355674.383102845,800,0
21,periodic,good,9.855719173117574,4.5,9.0,1355674.383102845,80,0
21,event,good,9.51709141811322,30.75625,173.0,1355674.383102845,33,0
21,proposed,good,9.507627444721248,4.97375,20.0,1355674.383102845,19,129
22,unconditional,good,3.290755631413937,0.0,0.0,170183.28891794654,800,0
22,periodic,good,3.500637553004841,4.5,9.0,170183.28891794654,80,0
22,event,good,3.3040066943448596,25.5375,107.0,170183.28891794654,27,0
22,proposed,good,3.293273649632196,4.50375,20.0,170183.28891794654,8,158
23,unconditional,good,0.05880749968502547,0.0,0.0,186.8024445371979,800,0
23,periodic,good,0.09782575748202263,4.5,9.0,186.8024445371979,80,0
23,event,good,0.16896926370789087,21.955,82.0,186.8024445371979,23,0
23,proposed,good,0.07723434413299905,3.95625,20.0,186.8024445371979,4,152
24,unconditional,good,0.06093057365356304,0.0,0.0,195.8168498948671,800,0
24,periodic,good,0.09535573312163932,4.5,9.0,195.8168498948671,80,0
24,event,good,0.16723592569430717,19.7125,90.0,195.8168498948671,25,0
24,proposed,good,0.08238690323121171,3.92375,19.0,195.8168498948671,4,150
25,unconditional,good,0.4033374940667043,0.0,0.0,3331.3076341133274,800,0
25,periodic,good,0.5041138598461938,4.5,9.0,3331.3076341133274,80,0
25,event,good,0.43605437556008825,18.16875,55.0,3331.3076341133274,30,0
25,proposed,good,0.4085801993497042,4.02,20.0,3331.3076341133274,8,162
26,unconditional,good,0.0566318610204845,0.0,0.0,133.6812055995549,800,0
26,periodic,good,0.09717859081884524,4.5,9.0,133.6812055995549,80,0
26,event,good,0.17700207800178816,16.53,52.0,133.6812055995549,27,0
26,proposed,good,0.08128627427128349,3.96375,20.0,133.6812055995549,3,153
27,unconditional,good,0.062157811993045556,0.0,0.0,156.40568466548166,800,0
27,periodic,good,0.09807854486661746,4.5,9.0,156.40568466548166,80,0
27,event,good,0.16682040214235666,21.39125,71.0,156.40568466548166,23,0
27,proposed,good,0.08689513619328712,4.435,19.0,156.40568466548166,1,153
28,unconditional,good,3.765388139325579,0.0,0.0,223333.6685991972,800,0
28,periodic,good,3.989873906342857,4.5,9.0,223333.6685991972,80,0
28,event,good,3.78249537502411,21.3725,107.0,223333.6685991972,29,0
28,proposed,good,3.768911839567918,4.22625,20.0,223333.6685991972,9,166
29,unconditional,good,0.05943289505102407,0.0,0.0,148.08397214747083,800,0
29,periodic,good,0.09662548844877969,4.5,9.0,148.08397214747083,80,0
29,event,good,0.1586287524697031,20.29,76.0,148.08397214747083,24,0
29,proposed,good,0.08059458671663705,4.17,20.0,148.08397214747083,2,154
