filter,method,param,seed,rmse_twin,sync_count,mean_aoi
fixed,proposed,8.0,7,0.3511365129807292,3,1.14875
fixed,proposed,8.0,8,0.3217101040087459,1,1.155
fixed,proposed,8.0,9,0.3575099580343848,4,1.19
fixed,proposed,8.0,10,0.33653975017900806,1,1.235
fixed,proposed,8.0,11,0.29323285279142264,1,1.59
fixed,proposed,8.0,12,0.3608442919145703,2,1.145
fixed,proposed,8.0,13,0.36768740673320893,1,1.3675
fixed,proposed,8.0,14,0.34497987703085087,1,1.18875
fixed,periodic,2.0,0,0.4018157234718045,400,0.5
fixed,periodic,2.0,1,0.4376364215199982,400,0.5
fixed,periodic,2.0,2,0.4047791969818649,400,0.5
fixed,periodic,2.0,3,0.34198298929827775,400,0.5
fixed,periodic,2.0,4,0.3534653187441425,400,0.5
fixed,periodic,2.0,5,0.3643114680936288,400,0.5
fixed,periodic,2.0,6,0.3474387896348241,400,0.5
fixed,periodic,2.0,7,0.36498682861164583,400,0.5
fixed,periodic,2.0,8,0.33598434676505434,400,0.5
fixed,periodic,2.0,9,0.3884959060964304,400,0.5
fixed,periodic,2.0,10,0.355543470354478,400,0.5
fixed,periodic,2.0,11,0.3089792792819401,400,0.5
fixed,periodic,2.0,12,0.37254763306656363,400,0.5
fixed,periodic,2.0,13,0.38925167961631035,400,0.5
fixed,periodic,2.0,14,0.3681529848715509,400,0.5
fixed,periodic,5.0,0,0.44471879271565873,160,2.0
fixed,periodic,5.0,1,0.4366176545305256,160,2.0
fixed,periodic,5.0,2,0.44394503285086423,160,2.0
fixed,periodic,5.0,3,0.3763336328174436,160,2.0
fixed,periodic,5.0,4,0.3878577561897039,160,2.0
fixed,periodic,5.0,5,0.39941255319644975,160,2.0
fixed,periodic,5.0,6,0.39120167154260194,160,2.0
fixed,periodic,5.0,7,0.42360001374791606,160,2.0
fixed,periodic,5.0,8,0.3665117711773225,160,2.0
fixed,periodic,5.0,9,0.40928734149087925,160,2.0
fixed,periodic,5.0,10,0.3976313720763441,160,2.0
fixed,periodic,5.0,11,0.3581713762633388,160,2.0
fixed,periodic,5.0,12,0.4239081069682279,160,2.0
fixed,periodic,5.0,13,0.4359573782678847,160,2.0
fixed,periodic,5.0,14,0.40795315338984284,160,2.0
fixed,periodic,8.0,0,0.47201615604129243,100,3.5
fixed,periodic,8.0,1,0.5343539347290367,100,3.5
fixed,periodic,8.0,2,0.5016001778578759,100,3.5
fixed,periodic,8.0,3,0.4230795499219775,100,3.5
fixed,periodic,8.0,4,0.45436597252387884,100,3.5
fixed,periodic,8.0,5,0.47268790203046307,100,3.5
fixed,periodic,8.0,6,0.4271064221775064,100,3.5
fixed,periodic,8.0,7,0.4631924662327706,100,3.5
fixed,periodic,8.0,8,0.3781898460307903,100,3.5
fixed,periodic,8.0,9,0.47541374413136356,100,3.5
fixed,periodic,8.0,10,0.42954480002452283,100,3.5
fixed,periodic,8.0,11,0.41733467185834644,100,3.5
fixed,periodic,8.0,12,0.46687064694748376,100,3.5
fixed,periodic,8.0,13,0.49481604620177116,100,3.5
fixed,periodic,8.0,14,0.46098184855323987,100,3.5
fixed,periodic,10.0,0,0.5810151863947653,80,4.5
fixed,periodic,10.0,1,0.5566079937964764,80,4.5
fixed,periodic,10.0,2,0.5609752031321728,80,4.5
fixed,periodic,10.0,3,0.5182985719779443,80,4.5
fixed,periodic,10.0,4,0.5320518280414642,80,4.5
fixed,periodic,10.0,5,0.5179314693926534,80,4.5
fixed,periodic,10.0,6,0.5028808464779639,80,4.5
fixed,periodic,10.0,7,0.5619685568244231,80,4.5
fixed,periodic,10.0,8,0.47019896924885474,80,4.5
fixed,periodic,10.0,9,0.5247211861055121,80,4.5
fixed,periodic,10.0,10,0.5177850221942966,80,4.5
fixed,periodic,10.0,11,0.4827434000107819,80,4.5
fixed,periodic,10.0,12,0.5529078660572746,80,4.5
fixed,periodic,10.0,13,0.5518547977356759,80,4.5
fixed,periodic,10.0,14,0.5501842303462906,80,4.5
fixed,periodic,15.0,0,0.5904742617905886,54,6.96875
fixed,periodic,15.0,1,0.4972352819350093,54,6.96875
fixed,periodic,15.0,2,0.5994825019431974,54,6.96875
fixed,periodic,15.0,3,0.4405748560776309,54,6.96875
fixed,periodic,15.0,4,0.4551418185171964,54,6.96875
fixed,periodic,15.0,5,0.5668694071433763,54,6.96875
fixed,periodic,15.0,6,0.5649128481391394,54,6.96875
fixed,periodic,15.0,7,0.5364725480357517,54,6.96875
fixed,periodic,15.0,8,0.47571709577789245,54,6.96875
fixed,periodic,15.0,9,0.5669203039699028,54,6.96875
fixed,periodic,15.0,10,0.5326187548408844,54,6.96875
fixed,periodic,15.0,11,0.47921968913457985,54,6.96875
fixed,periodic,15.0,12,0.5293525115431548,54,6.96875
fixed,periodic,15.0,13,0.5537390724684834,54,6.96875
fixed,periodic,15.0,14,0.4708069787644889,54,6.96875
fixed,periodic,20.0,0,0.8872134723695514,40,9.5
fixed,periodic,20.0,1,0.6385740915950043,40,9.5
fixed,periodic,20.0,2,0.8651188976056082,40,9.5
fixed,periodic,20.0,3,0.8098563301379248,40,9.5
fixed,periodic,20.0,4,0.7078540212293597,40,9.5
fixed,periodic,20.0,5,0.6420137357630304,40,9.5
fixed,periodic,20.0,6,0.7690176498497105,40,9.5
fixed,periodic,20.0,7,0.8929324473269763,40,9.5
fixed,periodic,20.0,8,0.7366095053452465,40,9.5
fixed,periodic,20.0,9,0.7085491270921637,40,9.5
fixed,periodic,20.0,10,0.6705535081935206,40,9.5
fixed,periodic,20.0,11,0.7410264126808327,40,9.5
fixed,periodic,20.0,12,0.7328834344110007,40,9.5
fixed,periodic,20.0,13,0.8288152991997527,40,9.5
fixed,periodic,20.0,14,0.6618703170712511,40,9.5
fixed,periodic,30.0,0,0.673175188760122,27,14.375
fixed,periodic,30.0,1,0.5907742251210856,27,14.375
fixed,periodic,30.0,2,0.6890513658804392,27,14.375
fixed,periodic,30.0,3,0.6247751306516269,27,14.375
