filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,periodic,2.0,7,0.08260488219207787,400,0.5
good,periodic,2.0,8,0.06418892200279358,400,0.5
good,periodic,2.0,9,0.14561147137858246,400,0.5
good,periodic,2.0,10,0.06499993385720217,400,0.5
good,periodic,2.0,11,0.06283486862838464,400,0.5
good,periodic,2.0,12,6.553143431413453,400,0.5
good,periodic,2.0,13,0.061933415082168944,400,0.5
good,periodic,2.0,14,0.06618399498505603,400,0.5
good,periodic,5.0,0,0.5368575795356473,160,2.0
good,periodic,5.0,1,0.08626479368252263,160,2.0
good,periodic,5.0,2,0.0732152239742961,160,2.0
good,periodic,5.0,3,0.06954803224561248,160,2.0
good,periodic,5.0,4,0.06859133892876906,160,2.0
good,periodic,5.0,5,0.0705626144039978,160,2.0
good,periodic,5.0,6,0.07443519338157664,160,2.0
good,periodic,5.0,7,0.08784341901394366,160,2.0
good,periodic,5.0,8,0.07491660242896304,160,2.0
good,periodic,5.0,9,0.08394415188477869,160,2.0
good,periodic,5.0,10,0.07727126035387391,160,2.0
good,periodic,5.0,11,0.07092003458161215,160,2.0
good,periodic,5.0,12,6.63726618366046,160,2.0
good,periodic,5.0,13,0.0730026449689607,160,2.0
good,periodic,5.0,14,0.07525989896590887,160,2.0
good,periodic,8.0,0,0.5193004235786556,100,3.5
good,periodic,8.0,1,0.10878667376042138,100,3.5
good,periodic,8.0,2,0.09210281411541814,100,3.5
good,periodic,8.0,3,0.0877588849575698,100,3.5
good,periodic,8.0,4,0.08253082149294662,100,3.5
good,periodic,8.0,5,0.08184254654974367,100,3.5
good,periodic,8.0,6,0.09256499191310906,100,3.5
good,periodic,8.0,7,0.09551762419718611,100,3.5
good,periodic,8.0,8,0.09042007607515969,100,3.5
good,periodic,8.0,9,0.10305351841403367,100,3.5
good,periodic,8.0,10,0.09526165536918674,100,3.5
good,periodic,8.0,11,0.08436730915177858,100,3.5
good,periodic,8.0,12,6.745007357650872,100,3.5
good,periodic,8.0,13,0.08965123140678423,100,3.5
good,periodic,8.0,14,0.08546347884992735,100,3.5
good,periodic,10.0,0,0.5667689895544079,80,4.5
