seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
19,event,fixed,0.425425149829246,7.60125,51.0,4238.584332130528,149,0
19,proposed,fixed,0.3782362306175967,1.795,19.0,4238.584332130528,58,378
20,unconditional,fixed,0.3016507640439525,0.0,0.0,3074.3398044504365,800,0
20,periodic,fixed,0.4714374219907036,4.5,9.0,3074.3398044504365,80,0
20,event,fixed,0.36918801154085784,9.1125,58.0,3074.3398044504365,130,0
20,proposed,fixed,0.32218205309704895,1.98,18.0,3074.3398044504365,45,342
21,unconditional,fixed,0.29990848808068205,0.0,0.0,3030.518578305942,800,0
21,periodic,fixed,0.4847652442619471,4.5,9.0,3030.518578305942,80,0
21,event,fixed,0.3690347026359019,6.62625,44.0,3030.518578305942,143,0
21,proposed,fixed,0.31723382583212767,1.2825,18.0,3030.518578305942,46,399
22,unconditional,fixed,0.38040864119795403,0.0,0.0,4688.7802256314335,800,0
22,periodic,fixed,0.5561881696154791,4.5,9.0,4688.7802256314335,80,0
22,event,fixed,0.4369162056603706,7.35625,57.0,4688.7802256314335,160,0
22,proposed,fixed,0.3997449204000235,1.57125,20.0,4688.7802256314335,55,408
23,unconditional,fixed,0.35126294165720845,0.0,0.0,4025.7534500263528,800,0
23,periodic,fixed,0.5263085992560121,4.5,9.0,4025.7534500263528,80,0
23,event,fixed,0.4139024230626461,6.98625,39.0,4025.7534500263528,142,0
23,proposed,fixed,0.37547812076310355,1.61375,14.0,4025.7534500263528,52,364
24,unconditional,fixed,0.4007778580814059,0.0,0.0,4996.058525948919,800,0
24,periodic,fixed,0.5845322275374457,4.5,9.0,4996.058525948919,80,0
24,event,fixed,0.46159286249153697,8.0075,46.0,4996.058525948919,158,0
24,proposed,fixed,0.4212727112841339,1.3975,14.0,4996.058525948919,68,382
25,unconditional,fixed,0.31908929792280816,0.0,0.0,3330.172836965892,800,0
25,periodic,fixed,0.46479732595125395,4.5,9.0,3330.172836965892,80,0
25,event,fixed,0.3908369581046331,6.11,48.0,3330.172836965892,156,0
25,proposed,fixed,0.34237344328604397,1.4125,13.0,3330.172836965892,45,400
26,unconditional,fixed,0.34602459674963004,0.0,0.0,3939.573852954711,800,0
26,periodic,fixed,0.5127227178965977,4.5,9.0,3939.573852954711,80,0
26,event,fixed,0.4147771297713755,6.66875,53.0,3939.573852954711,156,0
26,proposed,fixed,0.3744228095612367,1.5825,16.0,3939.573852954711,56,378
27,unconditional,fixed,0.31869334571976343,0.0,0.0,3360.422360836969,800,0
27,periodic,fixed,0.5448692846414915,4.5,9.0,3360.422360836969,80,0
27,event,fixed,0.379828345067324,6.8325,35.0,3360.422360836969,127,0
27,proposed,fixed,0.33758508708097174,1.83875,19.0,3360.422360836969,39,343
28,unconditional,fixed,0.3842064301596792,0.0,0.0,4719.005730634927,800,0
28,periodic,fixed,0.6316612514794762,4.5,9.0,4719.005730634927,80,0
28,event,fixed,0.43996432507601446,7.395,41.0,4719.005730634927,141,0
28,proposed,fixed,0.40488416403850425,2.155,20.0,4719.005730634927,62,338
29,unconditional,fixed,0.38968133983594777,0.0,0.0,4869.18118732145,800,0
29,periodic,fixed,0.5818045011842953,4.5,9.0,4869.18118732145,80,0
29,event,fixed,0.4533169461408514,5.36125,44.0,4869.18118732145,161,0
29,proposed,fixed,0.4126383125341117,1.37375,20.0,4869.18118732145,64,405
