seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq20,22,unconditional,good,51.29902987311332,0.0,0.0,12912664.687689666,261,0
scenario23_seq20,23,proposed,good,49.276525819278476,7.213740458015267,20.0,12207506.631585239,69,12
scenario23_seq20,23,periodic,good,49.869253330182595,4.469465648854962,9.0,12207506.631585239,26,0
scenario23_seq20,23,event,good,49.869537632303754,94.98473282442748,221.0,12207506.631585239,10,0
scenario23_seq20,23,unconditional,good,49.86601928566896,0.0,0.0,12207506.631585239,261,0
scenario23_seq20,24,proposed,good,44.97498185123989,7.213740458015267,20.0,10177199.66023005,69,12
scenario23_seq20,24,periodic,good,45.52061739773508,4.469465648854962,9.0,10177199.66023005,26,0
scenario23_seq20,24,event,good,45.51842143667653,117.86259541984732,248.0,10177199.66023005,10,0
scenario23_seq20,24,unconditional,good,45.518112915282686,0.0,0.0,10177199.66023005,261,0
scenario23_seq20,25,proposed,good,65.45182242043703,8.01526717557252,20.0,21531741.282216225,48,13
scenario23_seq20,25,periodic,good,66.27850468250752,4.469465648854962,9.0,21531741.282216225,26,0
scenario23_seq20,25,event,good,66.27543143742972,118.80534351145039,249.0,21531741.282216225,10,0
scenario23_seq20,25,unconditional,good,66.2754095699708,0.0,0.0,21531741.282216225,261,0
scenario23_seq20,26,proposed,good,43.840277017879075,8.15267175572519,20.0,9643947.539824534,27,26
scenario23_seq20,26,periodic,good,44.370708725256044,4.469465648854962,9.0,9643947.539824534,26,0
scenario23_seq20,26,event,good,44.43482836501472,71.76335877862596,191.0,9643947.539824534,12,0
scenario23_seq20,26,unconditional,good,44.324437133196874,0.0,0.0,9643947.539824534,261,0
scenario23_seq20,27,proposed,good,46.34551618618777,7.213740458015267,20.0,10792510.9897784,69,12
scenario23_seq20,27,periodic,good,46.86779872722248,4.469465648854962,9.0,10792510.9897784,26,0
scenario23_seq20,27,event,good,46.86617305985887,116.91603053435115,247.0,10792510.9897784,10,0
scenario23_seq20,27,unconditional,good,46.86431711593604,0.0,0.0,10792510.9897784,261,0
scenario23_seq20,28,proposed,good,47.34025890201423,7.213740458015267,20.0,11274018.1481219,69,12
scenario23_seq20,28,periodic,good,47.923402086128256,4.469465648854962,9.0,11274018.1481219,26,0
scenario23_seq20,28,event,good,47.91888537306106,116.91984732824427,247.0,11274018.1481219,10,0
scenario23_seq20,28,unconditional,good,47.918853587890894,0.0,0.0,11274018.1481219,261,0
scenario23_seq20,29,proposed,good,47.59940103516382,7.213740458015267,20.0,11397903.46726178,69,12
scenario23_seq20,29,periodic,good,48.19486799390806,4.469465648854962,9.0,11397903.46726178,26,0
scenario23_seq20,29,event,good,48.191359487660385,118.80152671755725,249.0,11397903.46726178,11,0
scenario23_seq20,29,unconditional,good,48.19065790247972,0.0,0.0,11397903.46726178,261,0
scenario23_seq32,0,proposed,good,101.72892486748974,6.7092651757188495,20.0,60659253.334515594,99,13
scenario23_seq32,0,periodic,good,102.44124687137618,4.466453674121405,9.0,60659253.334515594,31,0
scenario23_seq32,0,event,good,102.43943447690565,141.43130990415335,297.0,60659253.334515594,10,0
scenario23_seq32,0,unconditional,good,102.43939159974143,0.0,0.0,60659253.334515594,312,0
scenario23_seq32,1,proposed,good,101.98280892991123,6.7092651757188495,20.0,60937404.29247826,99,13
scenario23_seq32,1,periodic,good,102.66121045435791,4.466453674121405,9.0,60937404.29247826,31,0
scenario23_seq32,1,event,good,102.66261328014181,115.47284345047923,266.0,60937404.29247826,9,0
scenario23_seq32,1,unconditional,good,102.6599769104306,0.0,0.0,60937404.29247826,312,0
scenario23_seq32,2,proposed,good,101.61433706848663,6.712460063897764,20.0,60561036.83423737,97,14
scenario23_seq32,2,periodic,good,102.34518675448203,4.466453674121405,9.0,60561036.83423737,31,0
scenario23_seq32,2,event,good,102.34400976283486,146.19169329073483,302.0,60561036.83423737,6,0
