flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt2,6,good,proposed,40.26125259579888,1.8544548976203652,20.0,36945604.37548816,30.0,799.0,25.984650525236123,22.9163589,1807
Opt2,6,good,periodic,46.139274220919994,4.494189263973436,9.0,36945604.37548816,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,good,event,39.52550856267077,0.09075816270060874,4.0,36945604.37548816,1667.0,0.0,25.984650525236123,22.9163589,1807
Opt2,6,good,unconditional,39.52335162751762,0.0,0.0,36945604.37548816,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,good,proposed,40.26687579240407,1.795240730492529,20.0,36962614.094914615,31.0,790.0,25.984650525236123,22.9163589,1807
Opt2,7,good,periodic,46.06195403468396,4.494189263973436,9.0,36962614.094914615,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,good,event,39.53735232744522,0.08909795240730492,3.0,36962614.094914615,1663.0,0.0,25.984650525236123,22.9163589,1807
Opt2,7,good,unconditional,39.534887495383906,0.0,0.0,36962614.094914615,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,good,proposed,40.427416802587885,1.929164360819037,20.0,37263698.003798604,33.0,782.0,25.984650525236123,22.9163589,1807
Opt2,8,good,periodic,46.250330948070975,4.494189263973436,9.0,37263698.003798604,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,good,event,39.69965751936135,0.09684560044272275,4.0,37263698.003798604,1655.0,0.0,25.984650525236123,22.9163589,1807
Opt2,8,good,unconditional,39.69707200760164,0.0,0.0,37263698.003798604,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,good,proposed,40.44271620087648,1.8516878804648589,20.0,37329663.04588663,33.0,790.0,25.984650525236123,22.9163589,1807
Opt2,9,good,periodic,46.37064411548889,4.494189263973436,9.0,37329663.04588663,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,good,event,39.73241539333979,0.09020475926950747,3.0,37329663.04588663,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,9,good,unconditional,39.72997109288955,0.0,0.0,37329663.04588663,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,good,proposed,40.185444266072466,1.859988931931378,20.0,36830043.54511644,29.0,792.0,25.984650525236123,22.9163589,1807
Opt2,10,good,periodic,46.01798133318608,4.494189263973436,9.0,36830043.54511644,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,good,event,39.465462757824476,0.09131156613171001,3.0,36830043.54511644,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,10,good,unconditional,39.463241970187006,0.0,0.0,36830043.54511644,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,good,proposed,40.30166057087385,1.8107360265633647,20.0,37043503.0175617,32.0,789.0,25.984650525236123,22.9163589,1807
Opt2,11,good,periodic,46.17712898317571,4.494189263973436,9.0,37043503.0175617,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,good,event,39.57991343946943,0.09020475926950747,3.0,37043503.0175617,1664.0,0.0,25.984650525236123,22.9163589,1807
Opt2,11,good,unconditional,39.578026579539156,0.0,0.0,37043503.0175617,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,good,proposed,40.14760814137123,1.8251245157719977,20.0,36771968.94006012,28.0,798.0,25.984650525236123,22.9163589,1807
Opt2,12,good,periodic,45.98945904437834,4.494189263973436,9.0,36771968.94006012,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,good,event,39.43513545351721,0.09020475926950747,3.0,36771968.94006012,1661.0,0.0,25.984650525236123,22.9163589,1807
Opt2,12,good,unconditional,39.432752876499386,0.0,0.0,36771968.94006012,1806.0,0.0,25.984650525236123,22.9163589,1807
