flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt3,9,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,9,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,10,fixed,proposed,49.04482209910939,0.7294478527607362,20.0,42011370.1946036,348.0,851.0,30.68454248048848,21.79298305,1630
Opt3,10,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,10,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,10,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,11,fixed,proposed,49.03815280852773,0.7607361963190185,20.0,42011370.1946036,348.0,848.0,30.68454248048848,21.79298305,1630
Opt3,11,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,11,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,11,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,12,fixed,proposed,49.08894541426305,0.7607361963190185,20.0,42011370.1946036,351.0,835.0,30.68454248048848,21.79298305,1630
Opt3,12,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,12,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,12,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,13,fixed,proposed,49.06801536748727,0.7650306748466258,20.0,42011370.1946036,358.0,833.0,30.68454248048848,21.79298305,1630
Opt3,13,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,13,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,13,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,14,fixed,proposed,49.04664732553863,0.7343558282208589,20.0,42011370.1946036,356.0,836.0,30.68454248048848,21.79298305,1630
Opt3,14,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,14,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,14,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,15,fixed,proposed,49.05087382549023,0.7282208588957055,20.0,42011370.1946036,353.0,846.0,30.68454248048848,21.79298305,1630
Opt3,15,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,15,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,15,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
