flight,k,t,method,action,twin_err,aoi,Ck,Dk,Dr,q,sinr_db,assoc_error_m
Opt2,1059,537.8714458942413,unconditional,SYNC,20.00558294204565,0,0.023175406726537583,0.7699304109709553,6.250682919848457,0.0588374146448366,19.754303,36.780396617623005
Opt2,1060,538.3839485645294,proposed,HOLD,20.98171990178371,5,0.06325333370215584,2.3324260749613765,14.28715740173933,0.16322774891651698,24.1857071,13.04232935664468
Opt2,1060,538.3839485645294,periodic,SYNC,20.167617063422192,0,0.06325333370215584,2.173282616392825,13.31233223303008,0.16322774891651698,24.1857071,13.04232935664468
Opt2,1060,538.3839485645294,event,SYNC,20.167617063422192,0,0.06325333370215584,0.6634999979635237,4.064235522283622,0.16322774891651698,24.1857071,13.04232935664468
Opt2,1060,538.3839485645294,unconditional,SYNC,20.167617063422192,0,0.06325333370215584,0.6634999979635237,4.064235522283622,0.16322774891651698,24.1857071,13.04232935664468
Opt2,1061,538.8964512348175,proposed,HOLD,21.46630896315773,6,0.06475429442014403,2.773458833242902,16.833909204031034,0.16939135860099214,24.3466797,20.558376548530916
Opt2,1061,538.8964512348175,periodic,HOLD,20.597583501620303,1,0.06475429442014403,0.41039966618398016,2.4909800841816585,0.16939135860099214,24.3466797,20.558376548530916
Opt2,1061,538.8964512348175,event,SYNC,20.545589158032445,0,0.06475429442014403,0.41039966618398016,2.4909800841816585,0.16939135860099214,24.3466797,20.558376548530916
Opt2,1061,538.8964512348175,unconditional,SYNC,20.545589158032445,0,0.06475429442014403,0.41039966618398016,2.4909800841816585,0.16939135860099214,24.3466797,20.558376548530916
Opt2,1062,539.152702331543,proposed,HOLD,20.791998746325177,7,0.05822179785808945,3.116943594353496,19.69983678954976,0.15530705027514283,23.9696789,13.7823067879201
Opt2,1062,539.152702331543,periodic,HOLD,19.883408721920485,2,0.05822179785808945,0.6865343541331975,4.339063033204542,0.15530705027514283,23.9696789,13.7823067879201
Opt2,1062,539.152702331543,event,SYNC,19.365390751160437,0,0.05822179785808945,0.49061518457369324,3.100806533709915,0.15530705027514283,23.9696789,13.7823067879201
Opt2,1062,539.152702331543,unconditional,SYNC,19.365390751160437,0,0.05822179785808945,0.49061518457369324,3.100806533709915,0.15530705027514283,23.9696789,13.7823067879201
Opt2,1063,539.665205001831,proposed,HOLD,21.031293045728493,8,0.1629889454084853,3.4450188624787037,13.099481642195105,0.4007767150605342,28.086792,20.084494284786206
Opt2,1063,539.665205001831,periodic,HOLD,20.067581783227542,3,0.1629889454084853,2.6102656775938557,9.92538174385803,0.4007767150605342,28.086792,20.084494284786206
Opt2,1063,539.665205001831,event,SYNC,18.75665666280859,0,0.1629889454084853,2.6063512839534515,9.91049749222409,0.4007767150605342,28.086792,20.084494284786206
Opt2,1063,539.665205001831,unconditional,SYNC,18.75665666280859,0,0.1629889454084853,2.6063512839534515,9.91049749222409,0.4007767150605342,28.086792,20.084494284786206
Opt2,1064,540.1777074337006,proposed,HOLD,20.966632554722228,9,0.30081101328192145,3.952638798036026,9.861602269037025,0.6475814968384159,30.1707115,20.1506582570986
Opt2,1064,540.1777074337006,periodic,HOLD,19.949049530653824,4,0.30081101328192145,1.611912265721679,4.021626682667764,0.6475814968384159,30.1707115,20.1506582570986
Opt2,1064,540.1777074337006,event,SYNC,18.517560277374727,0,0.30081101328192145,2.357697686720786,5.882317622501142,0.6475814968384159,30.1707115,20.1506582570986
Opt2,1064,540.1777074337006,unconditional,SYNC,18.517560277374727,0,0.30081101328192145,2.357697686720786,5.882317622501142,0.6475814968384159,30.1707115,20.1506582570986
Opt2,1065,540.4339587688446,proposed,HOLD,20.175303494859897,10,0.0775461686215745,2.97273012425488,16.743420302079382,0.17115520511204266,24.3916683,42.82446120944138
Opt2,1065,540.4339587688446,periodic,HOLD,19.122047532435182,5,0.0775461686215745,0.27786136660738425,1.5650090833535448,0.17115520511204266,24.3916683,42.82446120944138
Opt2,1065,540.4339587688446,event,SYNC,19.20171144505944,0,0.0775461686215745,1.6480225160091029,9.282219542127836,0.17115520511204266,24.3916683,42.82446120944138
Opt2,1065,540.4339587688446,unconditional,SYNC,19.20171144505944,0,0.0775461686215745,1.6480225160091029,9.282219542127836,0.17115520511204266,24.3916683,42.82446120944138
Opt2,1066,540.9464614391327,proposed,HOLD,19.718734932832987,11,0.03373572656513444,2.660680355205808,19.89506038171449,0.07856971201081497,21.0103188,32.63704374438766
Opt2,1066,540.9464614391327,periodic,HOLD,18.624221159159983,6,0.03373572656513444,0.7901556220462322,5.908336106892095,0.07856971201081497,21.0103188,32.63704374438766
Opt2,1066,540.9464614391327,event,SYNC,18.871169742442515,0,0.03373572656513444,0.7391063285895838,5.526618410598088,0.07856971201081497,21.0103188,32.63704374438766
Opt2,1066,540.9464614391327,unconditional,SYNC,18.871169742442515,0,0.03373572656513444,0.7391063285895838,5.526618410598088,0.07856971201081497,21.0103188,32.63704374438766
Opt2,1067,541.4589638710022,proposed,FUSE,18.77663731464766,0,0.015917529101466696,2.7047320239461023,23.333244289382282,0.04,15.9160137,35.73675917379106
Opt2,1067,541.4589638710022,periodic,HOLD,18.151852963248906,7,0.015917529101466696,1.1647796403798127,10.048347729705661,0.04,15.9160137,35.73675917379106
Opt2,1067,541.4589638710022,event,SYNC,18.357694349954063,0,0.015917529101466696,0.4074358606600567,3.514877032130436,0.04,15.9160137,35.73675917379106
Opt2,1067,541.4589638710022,unconditional,SYNC,18.357694349954063,0,0.015917529101466696,0.4074358606600567,3.514877032130436,0.04,15.9160137,35.73675917379106
Opt2,1068,542.2277178764343,proposed,HOLD,18.221381300904046,1,0.018792336459585685,1.2808337821099807,10.782124674732135,0.05102802401991477,19.1358547,88.1612491741043
Opt2,1068,542.2277178764343,periodic,HOLD,17.534149004927304,8,0.018792336459585685,1.3793591304267998,11.611516125840923,0.05102802401991477,19.1358547,88.1612491741043
Opt2,1068,542.2277178764343,event,SYNC,18.75902421211997,0,0.018792336459585685,1.283710093972216,10.806337615970257,0.05102802401991477,19.1358547,88.1612491741043
