seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq32,21,unconditional,good,99.58934708687606,0.0,0.0,57347834.68302908,312,0
scenario23_seq32,22,proposed,good,102.65466815762885,9.140575079872205,20.0,60932667.85519371,9,18
scenario23_seq32,22,periodic,good,102.65533538461447,4.466453674121405,9.0,60932667.85519371,31,0
scenario23_seq32,22,event,good,102.65392895577067,134.17571884984025,289.0,60932667.85519371,9,0
scenario23_seq32,22,unconditional,good,102.65367617148564,0.0,0.0,60932667.85519371,312,0
scenario23_seq32,23,proposed,good,102.65422321403248,9.175718849840255,20.0,60928496.93176001,7,20
scenario23_seq32,23,periodic,good,102.65439777373135,4.466453674121405,9.0,60928496.93176001,31,0
scenario23_seq32,23,event,good,102.65260777425057,146.19169329073483,302.0,60928496.93176001,6,0
scenario23_seq32,23,unconditional,good,102.65259678992993,0.0,0.0,60928496.93176001,312,0
scenario23_seq32,24,proposed,good,121.74040459074891,9.536741214057509,20.0,85760929.708873,9,14
scenario23_seq32,24,periodic,good,121.74182304779092,4.466453674121405,9.0,85760929.708873,31,0
scenario23_seq32,24,event,good,121.74041057166778,147.14376996805112,303.0,85760929.708873,9,0
scenario23_seq32,24,unconditional,good,121.74040154186862,0.0,0.0,85760929.708873,312,0
scenario23_seq32,25,proposed,good,96.15543975374047,9.130990415335463,20.0,53462774.57971573,9,18
scenario23_seq32,25,periodic,good,96.15602049898051,4.466453674121405,9.0,53462774.57971573,31,0
scenario23_seq32,25,event,good,96.15497787831202,130.70287539936103,285.0,53462774.57971573,8,0
scenario23_seq32,25,unconditional,good,96.1546461344636,0.0,0.0,53462774.57971573,312,0
scenario23_seq32,26,proposed,good,105.33336996332353,9.536741214057509,20.0,64170670.48064801,9,14
scenario23_seq32,26,periodic,good,105.33480079105303,4.466453674121405,9.0,64170670.48064801,31,0
scenario23_seq32,26,event,good,105.33339561318775,145.2300319488818,301.0,64170670.48064801,6,0
scenario23_seq32,26,unconditional,good,105.3333672911083,0.0,0.0,64170670.48064801,312,0
scenario23_seq32,27,proposed,good,101.05536252188266,9.146964856230031,20.0,59057175.90848538,9,18
scenario23_seq32,27,periodic,good,101.0554935623794,4.466453674121405,9.0,59057175.90848538,31,0
scenario23_seq32,27,event,good,101.05451293338784,131.55910543130992,286.0,59057175.90848538,9,0
scenario23_seq32,27,unconditional,good,101.05403879232662,0.0,0.0,59057175.90848538,312,0
scenario23_seq32,28,proposed,good,102.88882801989912,9.536741214057509,20.0,61227071.88502538,8,15
scenario23_seq32,28,periodic,good,102.89054786329898,4.466453674121405,9.0,61227071.88502538,31,0
scenario23_seq32,28,event,good,102.8888359747858,147.15015974440894,303.0,61227071.88502538,7,0
scenario23_seq32,28,unconditional,good,102.88882477944426,0.0,0.0,61227071.88502538,312,0
scenario23_seq32,29,proposed,good,107.03204694674035,9.233226837060704,20.0,66254942.280880585,9,16
scenario23_seq32,29,periodic,good,107.03295212637587,4.466453674121405,9.0,66254942.280880585,31,0
scenario23_seq32,29,event,good,107.03330247731687,105.92651757188499,252.0,66254942.280880585,8,0
scenario23_seq32,29,unconditional,good,107.03146167091488,0.0,0.0,66254942.280880585,312,0
scenario23_seq33,0,proposed,good,2.435980087152465,3.516194331983806,20.0,85871.15097126778,21,157
scenario23_seq33,0,periodic,good,2.6195316057056757,4.4757085020242915,9.0,85871.15097126778,49,0
scenario23_seq33,0,event,good,2.460668307233563,14.712550607287449,77.0,85871.15097126778,36,0
scenario23_seq33,0,unconditional,good,2.430026937061487,0.0,0.0,85871.15097126778,493,0
scenario23_seq33,1,proposed,good,3.3881743810710723,2.9635627530364372,20.0,142539.8860505857,17,174
scenario23_seq33,1,periodic,good,3.682805227701837,4.4757085020242915,9.0,142539.8860505857,49,0
scenario23_seq33,1,event,good,3.4063806208607916,17.973684210526315,98.0,142539.8860505857,35,0
