flight,seed,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,23,unconditional,118.18147403363896,0.0,0.0,286517082.36922276,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,proposed,118.33127560106732,1.556489753021545,20.0,286271729.3921521,70.0,1041.0,32.814581475254855,21.93713,1903
Opt1,24,periodic,120.66379355560606,4.4944823962165,9.0,286271729.3921521,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,event,118.13147042219495,0.023646873357856018,1.0,286271729.3921521,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,unconditional,118.13086095056767,0.0,0.0,286271729.3921521,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,proposed,118.40934852248016,1.4760903836048345,20.0,286898552.22417045,75.0,1038.0,32.814581475254855,21.93713,1903
Opt1,25,periodic,120.78110333666582,4.4944823962165,9.0,286898552.22417045,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,event,118.25985273704092,0.025748817656332107,1.0,286898552.22417045,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,unconditional,118.26026292124666,0.0,0.0,286898552.22417045,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,proposed,118.30874384304403,1.4555964266946926,20.0,286454772.25746304,73.0,1043.0,32.814581475254855,21.93713,1903
Opt1,26,periodic,120.7087611437286,4.4944823962165,9.0,286454772.25746304,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,event,118.16942997617625,0.023121387283236993,1.0,286454772.25746304,1858.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,unconditional,118.16894385243681,0.0,0.0,286454772.25746304,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,proposed,118.26245675701433,1.5764582238570677,20.0,286099323.83902067,74.0,1035.0,32.814581475254855,21.93713,1903
Opt1,27,periodic,120.64530957552456,4.4944823962165,9.0,286099323.83902067,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,event,118.09592616189144,0.02417235943247504,1.0,286099323.83902067,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,unconditional,118.09536125249335,0.0,0.0,286099323.83902067,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,proposed,118.3258323594667,1.5522858644245927,20.0,286538263.1703431,73.0,1028.0,32.814581475254855,21.93713,1903
Opt1,28,periodic,120.70867447881199,4.4944823962165,9.0,286538263.1703431,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,event,118.18644712873495,0.025223331581713086,1.0,286538263.1703431,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,unconditional,118.18619969548118,0.0,0.0,286538263.1703431,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,proposed,118.26714683182924,1.6037834997372569,20.0,286133423.25914544,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,29,periodic,120.66137281554231,4.4944823962165,9.0,286133423.25914544,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,event,118.10325258192492,0.02627430373095113,2.0,286133423.25914544,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,unconditional,118.10249928394009,0.0,0.0,286133423.25914544,1902.0,0.0,32.814581475254855,21.93713,1903
Opt2,0,proposed,40.442826972269174,1.8588821250691754,20.0,37306301.557190746,31.0,786.0,25.984650525236123,22.9163589,1807
Opt2,0,periodic,46.349487239179616,4.494189263973436,9.0,37306301.557190746,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,event,39.7215801510506,0.09241837299391256,4.0,37306301.557190746,1662.0,0.0,25.984650525236123,22.9163589,1807
Opt2,0,unconditional,39.71942157519259,0.0,0.0,37306301.557190746,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,proposed,40.14709049908252,1.8035417819590482,20.0,36730518.21751385,32.0,789.0,25.984650525236123,22.9163589,1807
Opt2,1,periodic,45.98756641721271,4.494189263973436,9.0,36730518.21751385,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,event,39.408802873632084,0.09739900387382401,4.0,36730518.21751385,1659.0,0.0,25.984650525236123,22.9163589,1807
Opt2,1,unconditional,39.40648404593947,0.0,0.0,36730518.21751385,1806.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,proposed,40.231237837865656,1.8489208633093526,20.0,36998279.26570578,33.0,786.0,25.984650525236123,22.9163589,1807
Opt2,2,periodic,46.09728482472393,4.494189263973436,9.0,36998279.26570578,180.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,event,39.55420115665655,0.08633093525179857,3.0,36998279.26570578,1668.0,0.0,25.984650525236123,22.9163589,1807
Opt2,2,unconditional,39.55176491879316,0.0,0.0,36998279.26570578,1806.0,0.0,25.984650525236123,22.9163589,1807
