flight,seed,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,19,event,118.12312574428759,0.02627430373095113,2.0,286229143.3239775,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,19,unconditional,118.1221217567403,0.0,0.0,286229143.3239775,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,proposed,118.32058354600906,1.6100893326326853,20.0,286250883.48588073,72.0,1036.0,32.814581475254855,21.93713,1903
Opt1,20,periodic,120.66351666249261,4.4944823962165,9.0,286250883.48588073,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,event,118.12690542698611,0.025748817656332107,2.0,286250883.48588073,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,20,unconditional,118.12669184857172,0.0,0.0,286250883.48588073,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,proposed,118.28602790981599,1.5491329479768785,20.0,286461850.0056005,74.0,1033.0,32.814581475254855,21.93713,1903
Opt1,21,periodic,120.70080914765877,4.4944823962165,9.0,286461850.0056005,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,event,118.17049676471485,0.025223331581713086,1.0,286461850.0056005,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,21,unconditional,118.17035958579675,0.0,0.0,286461850.0056005,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,proposed,118.32334905007434,1.6316342616920652,20.0,286388063.9838595,72.0,1025.0,32.814581475254855,21.93713,1903
Opt1,22,periodic,120.69614447979593,4.4944823962165,9.0,286388063.9838595,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,event,118.15573622822873,0.026799789805570153,2.0,286388063.9838595,1852.0,0.0,32.814581475254855,21.93713,1903
Opt1,22,unconditional,118.1550740517241,0.0,0.0,286388063.9838595,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,23,proposed,118.36395454581883,1.6158696794534946,20.0,286517082.36922276,75.0,1030.0,32.814581475254855,21.93713,1903
Opt1,23,periodic,120.74833432074185,4.4944823962165,9.0,286517082.36922276,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,23,event,118.18184464191073,0.02417235943247504,2.0,286517082.36922276,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,23,unconditional,118.18147403363896,0.0,0.0,286517082.36922276,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,proposed,118.33127560106732,1.556489753021545,20.0,286271729.3921521,70.0,1041.0,32.814581475254855,21.93713,1903
Opt1,24,periodic,120.66379355560606,4.4944823962165,9.0,286271729.3921521,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,event,118.13147042219495,0.023646873357856018,1.0,286271729.3921521,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,24,unconditional,118.13086095056767,0.0,0.0,286271729.3921521,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,proposed,118.40934852248016,1.4760903836048345,20.0,286898552.22417045,75.0,1038.0,32.814581475254855,21.93713,1903
Opt1,25,periodic,120.78110333666582,4.4944823962165,9.0,286898552.22417045,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,event,118.25985273704092,0.025748817656332107,1.0,286898552.22417045,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,25,unconditional,118.26026292124666,0.0,0.0,286898552.22417045,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,proposed,118.30874384304403,1.4555964266946926,20.0,286454772.25746304,73.0,1043.0,32.814581475254855,21.93713,1903
Opt1,26,periodic,120.7087611437286,4.4944823962165,9.0,286454772.25746304,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,event,118.16942997617625,0.023121387283236993,1.0,286454772.25746304,1858.0,0.0,32.814581475254855,21.93713,1903
Opt1,26,unconditional,118.16894385243681,0.0,0.0,286454772.25746304,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,proposed,118.26245675701433,1.5764582238570677,20.0,286099323.83902067,74.0,1035.0,32.814581475254855,21.93713,1903
Opt1,27,periodic,120.64530957552456,4.4944823962165,9.0,286099323.83902067,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,event,118.09592616189144,0.02417235943247504,1.0,286099323.83902067,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,27,unconditional,118.09536125249335,0.0,0.0,286099323.83902067,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,proposed,118.3258323594667,1.5522858644245927,20.0,286538263.1703431,73.0,1028.0,32.814581475254855,21.93713,1903
Opt1,28,periodic,120.70867447881199,4.4944823962165,9.0,286538263.1703431,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,event,118.18644712873495,0.025223331581713086,1.0,286538263.1703431,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,28,unconditional,118.18619969548118,0.0,0.0,286538263.1703431,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,proposed,118.26714683182924,1.6037834997372569,20.0,286133423.25914544,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,29,periodic,120.66137281554231,4.4944823962165,9.0,286133423.25914544,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,event,118.10325258192492,0.02627430373095113,2.0,286133423.25914544,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,29,unconditional,118.10249928394009,0.0,0.0,286133423.25914544,1902.0,0.0,32.814581475254855,21.93713,1903
